trade_date,close
2017-07-17,5394.0
2017-07-18,5416.0
2017-07-19,5396.0
2017-07-20,5286.0
2017-07-21,5246.0
2017-07-24,5218.0
2017-07-25,5208.0
2017-07-26,5152.0
2017-07-27,5234.0
2017-07-28,5172.0
2017-07-31,5204.0
2017-08-01,5162.0
2017-08-02,5116.0
2017-08-03,5110.0
2017-08-04,5134.0
2017-08-07,5186.0
2017-08-08,5220.0
2017-08-09,5290.0
2017-08-10,5298.0
2017-08-11,5186.0
2017-08-14,5214.0
2017-08-15,5126.0
2017-08-16,5102.0
2017-08-17,5130.0
2017-08-18,5162.0
2017-08-21,5204.0
2017-08-22,5260.0
2017-08-23,5254.0
2017-08-24,5318.0
2017-08-25,5312.0
2017-08-28,5286.0
2017-08-29,5282.0
2017-08-30,5302.0
2017-08-31,5306.0
2017-09-01,5374.0
2017-09-04,5374.0
2017-09-05,5378.0
2017-09-06,5316.0
2017-09-07,5298.0
2017-09-08,5282.0
2017-09-11,5262.0
2017-09-12,5300.0
2017-09-13,5244.0
2017-09-14,5260.0
2017-09-15,5256.0
2017-09-18,5248.0
2017-09-19,5282.0
2017-09-20,5320.0
2017-09-21,5268.0
2017-09-22,5310.0
2017-09-25,5334.0
2017-09-26,5318.0
2017-09-27,5308.0
2017-09-28,5118.0
2017-09-29,5146.0
2017-10-09,5166.0
2017-10-10,5136.0
2017-10-11,5124.0
2017-10-12,5126.0
2017-10-13,5136.0
2017-10-16,5158.0
2017-10-17,5156.0
2017-10-18,5218.0
2017-10-19,5168.0
2017-10-20,5188.0
2017-10-23,5172.0
2017-10-24,5178.0
2017-10-25,5182.0
2017-10-26,5200.0
2017-10-27,5190.0
2017-10-30,5220.0
2017-10-31,5154.0
2017-11-01,5162.0
2017-11-02,5176.0
2017-11-03,5194.0
2017-11-06,5308.0
2017-11-07,5316.0
2017-11-08,5300.0
2017-11-09,5336.0
2017-11-10,5346.0
2017-11-13,5522.0
2017-11-14,5626.0
2017-11-15,5536.0
2017-11-16,5512.0
2017-11-17,5520.0
2017-11-20,5578.0
2017-11-21,5536.0
2017-11-22,5440.0
2017-11-23,5440.0
2017-11-24,5468.0
2017-11-27,5410.0
2017-11-28,5380.0
2017-11-29,5400.0
2017-11-30,5378.0
2017-12-01,5560.0
2017-12-04,5566.0
2017-12-05,5488.0
2017-12-06,5500.0
2017-12-07,5398.0
2017-12-08,5400.0
2017-12-11,5394.0
2017-12-12,5416.0
2017-12-13,5406.0
2017-12-14,5324.0
2017-12-15,5332.0
2017-12-18,5338.0
2017-12-19,5364.0
2017-12-20,5378.0
2017-12-21,5368.0
2017-12-22,5358.0
2017-12-25,5366.0
2017-12-26,5458.0
2017-12-27,5472.0
2017-12-28,5500.0
2017-12-29,5520.0
2018-01-02,5576.0
2018-01-03,5552.0
2018-01-04,5634.0
2018-01-05,5630.0
2018-01-08,5688.0
2018-01-09,5692.0
2018-01-10,5670.0
2018-01-11,5678.0
2018-01-12,5640.0
2018-01-15,5676.0
2018-01-16,5612.0
2018-01-17,5592.0
2018-01-18,5598.0
2018-01-19,5614.0
2018-01-22,5668.0
2018-01-23,5674.0
2018-01-24,5754.0
2018-01-25,5762.0
2018-01-26,5736.0
2018-01-29,5740.0
2018-01-30,5696.0
2018-01-31,5726.0
2018-02-01,5660.0
2018-02-02,5668.0
2018-02-05,5668.0
2018-02-06,5652.0
2018-02-07,5644.0
2018-02-08,5630.0
2018-02-09,5602.0
2018-02-12,5596.0
2018-02-13,5610.0
2018-02-14,5630.0
2018-02-22,5704.0
2018-02-23,5754.0
2018-02-26,5832.0
2018-02-27,5852.0
2018-02-28,5848.0
2018-03-01,5820.0
2018-03-02,5828.0
2018-03-05,5786.0
2018-03-06,5774.0
2018-03-07,5698.0
2018-03-08,5656.0
2018-03-09,5582.0
2018-03-12,5568.0
2018-03-13,5596.0
2018-03-14,5560.0
2018-03-15,5582.0
2018-03-16,5544.0
2018-03-19,5560.0
2018-03-20,5524.0
2018-03-21,5526.0
2018-03-22,5560.0
2018-03-23,5494.0
2018-03-26,5506.0
2018-03-27,5464.0
2018-03-28,5414.0
2018-03-29,5388.0
2018-03-30,5430.0
2018-04-02,5446.0
2018-04-03,5452.0
2018-04-04,5398.0
2018-04-09,5376.0
2018-04-10,5432.0
2018-04-11,5460.0
2018-04-12,5474.0
2018-04-13,5452.0
2018-04-16,5456.0
2018-04-17,5498.0
2018-04-18,5534.0
2018-04-19,5614.0
2018-04-20,5576.0
2018-04-23,5608.0
2018-04-24,5616.0
2018-04-25,5600.0
2018-04-26,5576.0
2018-04-27,5580.0
2018-05-02,5630.0
2018-05-03,5620.0
2018-05-04,5612.0
2018-05-07,5656.0
2018-05-08,5670.0
2018-05-09,5664.0
2018-05-10,5736.0
2018-05-11,5794.0
2018-05-14,5794.0
2018-05-15,5850.0
2018-05-16,5848.0
2018-05-17,5834.0
2018-05-18,5824.0
2018-05-21,5858.0
2018-05-22,5792.0
2018-05-23,5778.0
2018-05-24,5776.0
2018-05-25,5800.0
2018-05-28,5688.0
2018-05-29,5694.0
2018-05-30,5684.0
2018-05-31,5702.0
2018-06-01,5744.0
2018-06-04,5744.0
2018-06-05,5700.0
2018-06-06,5696.0
2018-06-07,5700.0
2018-06-08,5680.0
2018-06-11,5686.0
2018-06-12,5712.0
2018-06-13,5668.0
2018-06-14,5720.0
2018-06-15,5704.0
2018-06-19,5564.0
2018-06-20,5570.0
2018-06-21,5574.0
2018-06-22,5600.0
2018-06-25,5620.0
2018-06-26,5638.0
2018-06-27,5818.0
2018-06-28,5800.0
2018-06-29,5850.0
2018-07-02,5840.0
2018-07-03,5886.0
2018-07-04,5876.0
2018-07-05,5864.0
2018-07-06,5878.0
2018-07-09,5914.0
2018-07-10,5934.0
2018-07-11,5910.0
2018-07-12,5902.0
2018-07-13,5876.0
2018-07-16,5906.0
2018-07-17,5862.0
2018-07-18,5874.0
2018-07-19,5962.0
2018-07-20,6012.0
2018-07-23,6018.0
2018-07-24,6148.0
2018-07-25,6140.0
2018-07-26,6162.0
2018-07-27,6206.0
2018-07-30,6356.0
2018-07-31,6324.0
2018-08-01,6422.0
2018-08-02,6656.0
2018-08-03,6886.0
2018-08-06,7068.0
2018-08-07,6568.0
2018-08-08,6794.0
2018-08-09,6714.0
2018-08-10,6846.0
2018-08-13,6966.0
2018-08-14,7012.0
2018-08-15,7052.0
2018-08-16,7366.0
2018-08-17,7300.0
2018-08-20,7556.0
2018-08-21,7574.0
2018-08-22,7660.0
2018-08-23,7602.0
2018-08-24,7460.0
2018-08-27,7568.0
2018-08-28,7924.0
2018-08-29,7888.0
2018-08-30,7874.0
2018-08-31,7858.0
2018-09-03,7934.0
2018-09-04,7774.0
2018-09-05,7734.0
2018-09-06,7756.0
2018-09-07,7684.0
2018-09-10,7764.0
2018-09-11,7494.0
2018-09-12,7524.0
2018-09-13,7482.0
2018-09-14,7334.0
2018-09-17,7332.0
2018-09-18,7214.0
2018-09-19,7170.0
2018-09-20,7186.0
2018-09-21,7214.0
2018-09-25,7130.0
2018-09-26,7148.0
2018-09-27,7186.0
2018-09-28,7248.0
2018-10-08,7304.0
2018-10-09,7504.0
2018-10-10,7560.0
2018-10-11,7444.0
2018-10-12,7420.0
2018-10-15,7406.0
2018-10-16,7288.0
2018-10-17,7236.0
2018-10-18,7024.0
2018-10-19,6988.0
2018-10-22,6944.0
2018-10-23,6960.0
2018-10-24,6928.0
2018-10-25,6770.0
2018-10-26,6772.0
2018-10-29,6938.0
2018-10-30,6958.0
2018-10-31,6970.0
2018-11-01,6872.0
2018-11-02,6756.0
2018-11-05,6780.0
2018-11-06,6716.0
2018-11-07,6570.0
2018-11-08,6592.0
2018-11-09,6490.0
2018-11-12,6582.0
2018-11-13,6546.0
2018-11-14,6386.0
2018-11-15,6442.0
2018-11-16,6568.0
2018-11-19,6574.0
2018-11-20,6440.0
2018-11-21,6252.0
2018-11-22,6164.0
2018-11-23,6014.0
2018-11-26,5946.0
2018-11-27,5862.0
2018-11-28,6028.0
2018-11-29,5994.0
2018-11-30,5846.0
2018-12-03,5900.0
2018-12-04,5986.0
2018-12-05,6148.0
2018-12-06,6100.0
2018-12-07,6292.0
2018-12-10,6134.0
2018-12-11,6054.0
2018-12-12,6088.0
2018-12-13,6088.0
2018-12-14,6204.0
2018-12-17,6236.0
2018-12-18,6216.0
2018-12-19,6174.0
2018-12-20,6124.0
2018-12-21,6018.0
2018-12-24,5910.0
2018-12-25,5750.0
2018-12-26,5764.0
2018-12-27,5762.0
2018-12-28,5640.0
2019-01-02,5588.0
2019-01-03,5668.0
2019-01-04,5834.0
2019-01-07,5842.0
2019-01-08,5884.0
2019-01-09,5990.0
2019-01-10,6002.0
2019-01-11,6020.0
2019-01-14,6030.0
2019-01-15,6118.0
