code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
160520.SH,2018-09-14,0.916,0.924,0.916,0.923,29.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-18,0.923,0.923,0.923,0.923,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-19,0.922,0.922,0.918,0.918,14.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-21,0.921,0.923,0.921,0.923,14.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-25,0.922,0.922,0.911,0.918,28.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-26,0.921,0.921,0.921,0.921,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-27,0.926,0.926,0.916,0.916,14.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-28,0.918,0.92,0.918,0.918,30.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-10,0.91,0.91,0.91,0.91,7.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-12,0.917,0.917,0.903,0.903,104.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-15,0.909,0.909,0.901,0.901,9.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-22,0.907,0.912,0.907,0.912,205.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-29,0.913,0.913,0.908,0.908,306.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-30,0.907,0.907,0.906,0.907,100.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-10-31,0.911,0.911,0.911,0.911,24.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-11-01,0.912,0.912,0.912,0.912,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-11-02,0.912,0.915,0.912,0.913,657.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
